animals,humans
animal,human
animals,humans
rat,person
rats,persons
mouse,people
mice,man
rabbit,men
rabbits,woman
insect,women
insects,
cockroach,
cockroaches,
wasp,
wasps,
avian,
bird,
birds,
duck,
ducks,
grouse,
grouses,
partridge,
partridges,
finch,
finches,
quail,
quails,
fowl,
fowls,
corncrake,
corncrakes,
mockingbird,
mockingbirds,
magpie,
magpies,
robin,
robins,
blackbird,
blackbirds,
cardinal,
cardinals,
bluebird,
bluebirds,
longspur,
longspurs,
warbler,
warblers,
owl,
owls,
goose,
geese,
turkey,
turkeys,
wren,
wrens,
chick,
chicks,
sparrow,
sparrows,
swallow,
swallows,
starling,
starlings,
junco,
juncos,
fish,
catfish,
trout,
goldfish,
pupfish,
horse,
horses,
donkey,
donkeys,
tilapia,
salmon,
mollusk,
mollusks,
frog,
lizard,
lizards,
toad,
toads,
iguana,
iguanas,
rattlesnake,
rattlesnakes,
alligator,
alligators,
amphibian,
amphibians,
squid,
squids,
mosquitofish,
blenny,
newt,
newts,
salamander,
salamanders,
turtle,
turtles,
dolphin,
dolphins,
seal,
seals,
rodent,
rodents,
bats,
bat,
shrew,
shrews,
mole,
moles,
vole,
voles,
hamster,
hamsters,
pig,
pigs,
gerbil,
gerbils,
squirrel,
squirrels,
ferret,
ferrets,
possum,
possums,
opossum,
opossums,
badger,
badgers,
sifaka,
sifakas,
lemur,
lemurs,
marsupial,
marsupials,
kangaroo,
kangaroos,
panda,
pandas,
hyena,
hyenas,
primate,
primates,
monkey,
monkeys,
chimpanzee,
chimpanzees,
baboon,
baboons,
muriqui,
muriquis,
rhesus,
bonobo,
bonobos,
gorilla,
gorillas,
macaque,
capuchin,
capuchins,
boar,
boars,
antelope,
aardwol,
aardwols,
goat,
goats,
cheetah,
cheetahs,
deer,
buck,
bucks,
ram,
rams,
sheep,
wolf,
wolves,
dog,
dogs,
lion,
lions,
gelding,
geldings,
stallion,
stallions,
bull,
bulls,
cow,
cows,
heifer,
heifers,
leopard,
leopards,
jaguar,
jaguars,
elephant,
elephants,
rhinoceros,
hyrax,
snake,
snakes,
copperhead,
copperheads,
jerboa,
jerboas,
ibex,
ibexes,
dove,
doves,
zebra,
zebras,
hedgehog,
hedgehogs,
howler,
howlers,
manakin,
manakins,
subfish,
cat,
cats,
feline,
felines,
porpoise,
porpoises,
orangutan,
orangutans,
rhea,
colobus,
mandrill,
mandrills,
bullfrog,
bullfrogs,
bass,
giraffe,
giraffes,