category,term
diversity,diversity
asian,asian
asian,chinese
asian,japan
asian,india
asian,taiwan
asian,korean
asian,bangladesh
asian,thailand
asian,vietnam
asian,pakistan
americas,american
americas,usa
americas,canadian
americas,mexican
americas,peru
americas,zealand
americas,colombia
americas,argentina
americas,chile
americas,ecuador
europe,european
europe,europe
europe,french
europe,german
europe,dutch
europe,italian
europe,swedish
europe,spain
europe,british
europe,danish
africa,africa
africa,ethiopia
africa,kenya
africa,guinea
africa,nigeria
africa,tanzania
africa,ghana
africa,malawi
africa,iran
africa,congo